,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Доп. объявление группы,Тип объявления,Мобильное объявление,ID группы,Название группы,Номер группы,"Статус ""Мало показов""",ID фразы,Фраза (с минус-словами),Фраза (с минус-словами),Заголовок 1,Заголовок 2,Текст,Длина,,,Ссылка,Отображаемая ссылка,Регион,Организация Яндекс.Справочника,Ставка,Ставка в сетях,Контакты,Статус объявления ,Статус фразы,Заголовки быстрых ссылок,Описания быстрых ссылок,Адреса быстрых ссылок,Турбо-страницы быстрых ссылок,Параметр 1,Параметр 2,Метки,Изображение,Креатив,Статус модерации креатива,Турбо-страница,Уточнения,Минус-фразы на группу,Возрастные ограничения,Реклама мобильных приложений: настройки на группу,,,,Реклама мобильных приложений: настройки на объявление,,,,
,,,,,,,,,,,,,заголовок 1,заголовок 2,текст,,,,,,,,,,,,,,,,,,,,,,,,Ссылка на приложение в магазине,Тип устройства,Тип связи,Версия ОС,Трекинговая ссылка,Иконка,Рейтинг,Количество оценок,Цена
-,Текстово-графическое,-,40095103,Группа №40095103,1,-,366638838,решение проблем управления компанией,40097939,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40095103,Группа №40095103,1,-,366638835,проблемы управления предприятием -решение,40097939,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40095103,Группа №40095103,1,-,366638839,решение проблем управления предприятием,40097939,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40095103,Группа №40095103,1,-,366638834,решение проблем управления организацией,40097939,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40095103,Группа №40095103,1,-,366638837,проблемы управления организацией -решение,40097939,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40095103,Группа №40095103,1,-,366638836,проблемы управления компанией -решение,40097939,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818931,система управления организацией,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818935,система управления предприятием,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,51","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818930,система управления компанией,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"1,53","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818934,система управления бизнесом,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"4,07","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818938,управление организацией -система,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818936,управление предприятием -система,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818933,управление бизнесом -система,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"2,80","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818932,управление компанией -система,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40312212,Группа №40312212,2,-,368818937,современная система управления,40315048,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
